id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
2,0232C,0232C/02D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,88,Gjakovë
2,BM002,BM002/001,144,LËVIZJA VETËVENDOSJE!,82,Gjakovë
2,BM002,BM002/001,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,74,Gjakovë
2,CB102,CB102/001,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,479,Gjakovë
2,CB102,CB102/001,144,LËVIZJA VETËVENDOSJE!,403,Gjakovë
3,0301E,0301E/03R,182,DEMOKRATËT PËR DRENASIN,161,Drenas
3,0301E,0301E/01R,177,PARTIA DEMOKRATIKE E KOSOVËS,203,Drenas
3,0301E,0301E/04R,177,PARTIA DEMOKRATIKE E KOSOVËS,157,Drenas
3,0301E,0301E/05D,177,PARTIA DEMOKRATIKE E KOSOVËS,188,Drenas
3,0301E,0301E/04R,182,DEMOKRATËT PËR DRENASIN,186,Drenas
3,0301E,0301E/01R,182,DEMOKRATËT PËR DRENASIN,176,Drenas
3,0301X,0301X/01R,182,DEMOKRATËT PËR DRENASIN,199,Drenas
3,0301E,0301E/02R,182,DEMOKRATËT PËR DRENASIN,160,Drenas
3,0301E,0301E/03R,177,PARTIA DEMOKRATIKE E KOSOVËS,100,Drenas
3,0301E,0301E/02R,177,PARTIA DEMOKRATIKE E KOSOVËS,132,Drenas
3,0301X,0301X/02R,177,PARTIA DEMOKRATIKE E KOSOVËS,205,Drenas
