id,Polling Center,Candidate,Party_ID,Party,Acronym,Votes,Municipality
10,1015D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,57,Kamenicë
10,1015D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,118,Kamenicë
10,1016D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,5,Kamenicë
10,1016D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,5,Kamenicë
10,1016D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,77,Kamenicë
10,1016D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,9,Kamenicë
10,1016D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,22,Kamenicë
10,1016D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,41,Kamenicë
10,1017D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,2,Kamenicë
10,1017D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,34,Kamenicë
10,1017D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,121,Kamenicë
10,1017D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,51,Kamenicë
10,1017D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,8,Kamenicë
10,1017D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,68,Kamenicë
10,1022D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,8,Kamenicë
10,1022D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,14,Kamenicë
10,1022D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,39,Kamenicë
10,1022D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,27,Kamenicë
10,1022D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,108,Kamenicë
10,1022D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,360,Kamenicë
10,1023D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,4,Kamenicë
10,1023D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,62,Kamenicë
10,1023D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,133,Kamenicë
10,1023D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,40,Kamenicë
10,1023D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,107,Kamenicë
10,1023D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,97,Kamenicë
10,1024D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,12,Kamenicë
10,1024D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,361,Kamenicë
10,1024D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,189,Kamenicë
10,1024D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,199,Kamenicë
10,1024D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,558,Kamenicë
10,1024D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,322,Kamenicë
10,1025D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,2,Kamenicë
10,1025D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,25,Kamenicë
10,1025D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,26,Kamenicë
10,1025D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,114,Kamenicë
10,1025D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,182,Kamenicë
10,1025D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,117,Kamenicë
10,1026D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,10,Kamenicë
10,1026D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,32,Kamenicë
10,1026D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,104,Kamenicë
10,1026D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,177,Kamenicë
10,1026D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,338,Kamenicë
10,1026D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,289,Kamenicë
10,1027D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,1,Kamenicë
10,1027D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,0,Kamenicë
10,1027D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,31,Kamenicë
10,1027D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,12,Kamenicë
10,1027D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,36,Kamenicë
10,1027D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,64,Kamenicë
10,1028D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,5,Kamenicë
10,1028D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,0,Kamenicë
10,1028D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,34,Kamenicë
10,1028D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,28,Kamenicë
10,1028D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,41,Kamenicë
10,1028D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,52,Kamenicë
10,1029D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,6,Kamenicë
10,1029D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,26,Kamenicë
10,1029D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,88,Kamenicë
10,1029D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,87,Kamenicë
10,1029D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,234,Kamenicë
10,1029D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,144,Kamenicë
10,1030D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,22,Kamenicë
10,1030D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,53,Kamenicë
10,1030D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,19,Kamenicë
10,1030D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,204,Kamenicë
10,1030D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,245,Kamenicë
10,1030D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,262,Kamenicë
10,1031D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,24,Kamenicë
10,1031D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,23,Kamenicë
